_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.syscheck.uname_after,_source.syscheck.mtime_after,_source.syscheck.inode_before,_source.syscheck.size_after,_source.syscheck.gid_after,_source.syscheck.md5_before,_source.syscheck.sha256_before,_source.syscheck.mtime_before,_source.syscheck.mode,_source.syscheck.path,_source.syscheck.sha1_after,_source.syscheck.changed_attributes,_source.syscheck.gname_after,_source.syscheck.uid_after,_source.syscheck.perm_after,_source.syscheck.event,_source.syscheck.md5_after,_source.syscheck.sha1_before,_source.syscheck.sha256_after,_source.syscheck.inode_after,_source.data.win.eventdata.param5,_source.data.win.eventdata.param3,_source.data.win.eventdata.param4,_source.data.win.eventdata.param1,_source.data.win.eventdata.param2,_source.data.win.system.eventID,_source.data.win.system.eventSourceName,_source.data.win.system.keywords,_source.data.win.system.providerGuid,_source.data.win.system.level,_source.data.win.system.channel,_source.data.win.system.opcode,_source.data.win.system.message,_source.data.win.system.version,_source.data.win.system.systemTime,_source.data.win.system.eventRecordID,_source.data.win.system.threadID,_source.data.win.system.computer,_source.data.win.system.task,_source.data.win.system.processID,_source.data.win.system.severityValue,_source.data.win.system.providerName,_source.data.extra_data,_source.decoder.parent,_source.data.win.eventdata.errorState,_source.data.win.eventdata.type,_source.data.win.eventdata.data,_source.data.win.eventdata.addressLength,_source.data.win.eventdata.address,_source.data.win.eventdata.queryName,_source.data.win.eventdata.binary,_source.previous_output,_source.rule.frequency,_source.rule.info,_source.data.win.eventdata.subjectLogonId,_source.data.win.eventdata.subjectDomainName,_source.data.win.eventdata.targetLinkedLogonId,_source.data.win.eventdata.impersonationLevel,_source.data.win.eventdata.ipAddress,_source.data.win.eventdata.authenticationPackageName,_source.data.win.eventdata.workstationName,_source.data.win.eventdata.targetLogonId,_source.data.win.eventdata.logonProcessName,_source.data.win.eventdata.logonGuid,_source.data.win.eventdata.targetUserName,_source.data.win.eventdata.keyLength,_source.data.win.eventdata.elevatedToken,_source.data.win.eventdata.subjectUserSid,_source.data.win.eventdata.processId,_source.data.win.eventdata.processName,_source.data.win.eventdata.ipPort,_source.data.win.eventdata.targetDomainName,_source.data.win.eventdata.targetUserSid,_source.data.win.eventdata.virtualAccount,_source.data.win.eventdata.logonType,_source.data.win.eventdata.subjectUserName,_source.data.win.eventdata.privilegeList,_source.data.win.eventdata.subStatus,_source.data.win.eventdata.failureReason,_source.data.win.eventdata.status,_source.data.win.eventdata.messageText,_source.data.win.eventdata.method,_source.data.win.eventdata.stage,_source.data.win.eventdata.context,_source.data.win.eventdata.errorCode,_source.data.win.eventdata.url,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.scan_id,_source.data.sca.passed,_source.data.sca.failed,_source.data.sca.type,_source.data.sca.policy,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.data.dstuser,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.registry,_source.data.sca.check.references,_source.data.sca.check.compliance.pci_dss_v4.0,_source.data.sca.check.compliance.cis_csc_v8,_source.data.sca.check.compliance.soc_2,_source.data.sca.check.compliance.pci_dss_v3.2.1,_source.data.sca.check.compliance.cis,_source.data.sca.check.compliance.cmmc_v2.0,_source.data.sca.check.compliance.iso_27001-2013,_source.data.sca.check.compliance.cis_csc_v7,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.rule.cis_csc_v8,_source.rule.cis,_source.rule.iso_27001-2013,_source.rule.soc_2,_source.rule.cis_csc_v7,_source.data.sca.check.compliance.nist_sp_800-53,_source.rule.nist_sp_800-53,_source.data.origin.module,_source.data.version,_source.data.parameters.extra_args,_source.data.parameters.program,_source.data.command,_source.data.sca.check.command,_source.data.sca.check.compliance.hipaa,_source.data.sca.check.reason,_source.data.win.eventdata.updateRevisionNumber,_source.data.win.eventdata.updateGuid,_source.data.win.eventdata.serviceGuid,_source.data.win.eventdata.updateTitle,_source.previous_log,_source.data.win.eventdata.param7,_source.data.sca.check.previous_result,_source.data.audit.pid,_source.data.audit.id,_source.data.audit.type,_source.data.audit.directory.name,_source.data.audit.command,_source.data.win.eventdata.bucketId,_source.data.win.eventdata.deviceAttributes,_source.data.win.eventdata.updateType,_source.data.win.eventdata.hResult
wazuh-alerts-4.x-2026.06.28,KJYdEJ8BLZf6xaoaHig2,1,1,192.168.56.104,abrar123,002,wazuh-server,false,3,"[""10.6.1"",""10.2.6""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8""]",Wazuh agent disconnected.,"[""ossec""]","[""AU.6"",""AU.14"",""AU.5""]","[""IV_35.7.d""]",1,"[""Disable or Modify Tools""]","[""T1562.001""]","[""Defense Evasion""]",504,"[""10.1""]",ossec,ossec: Agent disconnected: 'abrar123-any'.,log,"Jun 28, 2026 @ 14:22:46.077",wazuh-monitord,1782681766.3602885,"Jun 28, 2026 @ 14:22:46.077", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,J5YbEJ8BLZf6xaoaqygC,1,1, ,wazuh-server,000,wazuh-server,false,7,"[""11.5""]","[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Integrity checksum changed.,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]","[""SI.7""]","[""II_5.1.f""]",1,"[""Stored Data Manipulation""]","[""T1565.001""]","[""Impact""]",550,"[""4.11""]",syscheck_integrity_changed,"File '/boot/grub2/grubenv' modified
Mode: scheduled
Changed attributes: inode,mtime,md5,sha1,sha256
Old modification time was: '1776864289', now it is '1782623901'
Old inode was: '769575', now it is '1805109'
Old md5sum was: '22cc67f342099fe4595aebb5fb03110e'
New md5sum is : '693461879eafc7b2d2c5e93916c3099e'
Old sha1sum was: '548ff3443746275a9cc7e4ab196e861d4da82384'
New sha1sum is : '5694dbc3592290438130053cb7deb16f545897a4'
Old sha256sum was: '200694c88b32646bb976ef1e2b2c705cfc2feefdd33bfd1daa5f8d8ee9da9d75'
New sha256sum is : 'cb2bca79a28db739fdb8e8464e91314fe7f1d425d13c18ad974823f4899f1e8b'
",log,"Jun 28, 2026 @ 14:21:07.789",syscheck,1782681667.3601639,"Jun 28, 2026 @ 14:21:07.789",root,2026-06-28T05:18:21,769575,1024,0,22cc67f342099fe4595aebb5fb03110e,200694c88b32646bb976ef1e2b2c705cfc2feefdd33bfd1daa5f8d8ee9da9d75,2026-04-22T13:24:49,scheduled,/boot/grub2/grubenv,5694dbc3592290438130053cb7deb16f545897a4,"[""inode"",""mtime"",""md5"",""sha1"",""sha256""]",root,0,rw-------,modified,693461879eafc7b2d2c5e93916c3099e,548ff3443746275a9cc7e4ab196e861d4da82384,cb2bca79a28db739fdb8e8464e91314fe7f1d425d13c18ad974823f4899f1e8b,1805109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,DpbyDZ8BLZf6xaoaNSgh,1,1,192.168.56.104,abrar123,002,wazuh-server,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]", ,"[""IV_35.7.d""]",8, , , ,61102,"[""4.3""]",windows_eventchannel, ,log,"Jun 28, 2026 @ 04:16:42.951",EventChannel,1782645402.3582335,"Jun 28, 2026 @ 04:16:42.951", , , , , , , , , , , , , , , , , , , , ,Unavailable,{ED215C26-C810-49CE-929E-31D7E83A82E9},Unavailable,"\""C:\\Program Files (x86)\\Microsoft\\Copilot\\Application\\mscopilot_proxy.exe\"" -Embedding",2147942852,10001,DCOM,0x8080000000000000,{1B562E86-B7AA-4131-BADC-B6F3A001407E},2,System,0,"""Unable to start a DCOM Server: {ED215C26-C810-49CE-929E-31D7E83A82E9} as Unavailable/Unavailable. The error:
""2147942852""
Happened while starting this command:
""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"" -Embedding""",0,2026-06-28T11:34:55.4641716Z,12847,8264,DESKTOP-EEL8CND,0,760,ERROR,Microsoft-Windows-DistributedCOM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,CZbuDZ8BLZf6xaoadyiJ,1,1,192.168.56.104,abrar123,002,wazuh-server,false,3,"[""10.6.1"",""10.2.6""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8""]",Wazuh agent started.,"[""ossec""]","[""AU.6"",""AU.14"",""AU.5""]","[""IV_35.7.d""]",2, , , ,503,"[""10.1""]",ossec,ossec: Agent started: 'abrar123->any'.,log,"Jun 28, 2026 @ 04:12:34.427",wazuh-agent,1782645154.3579769,"Jun 28, 2026 @ 04:12:34.427", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,abrar123->any,ossec, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,BJbqDZ8BLZf6xaoaayis,1,1,192.168.56.104,abrar123,002,wazuh-server,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]", ,"[""IV_35.7.d""]",5, , , ,61102,"[""4.3""]",windows_eventchannel, ,log,"Jun 28, 2026 @ 04:08:10.252",EventChannel,1782644890.3574962,"Jun 28, 2026 @ 04:08:10.252", , , , , , , , , , , , , , , , , , , , ,Unavailable,{ED215C26-C810-49CE-929E-31D7E83A82E9},Unavailable,"\""C:\\Program Files (x86)\\Microsoft\\Copilot\\Application\\mscopilot_proxy.exe\"" -Embedding",2147942852,10001,DCOM,0x8080000000000000,{1B562E86-B7AA-4131-BADC-B6F3A001407E},2,System,0,"""Unable to start a DCOM Server: {ED215C26-C810-49CE-929E-31D7E83A82E9} as Unavailable/Unavailable. The error:
""2147942852""
Happened while starting this command:
""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"" -Embedding""",0,2026-06-28T11:26:23.0309058Z,12844,8264,DESKTOP-EEL8CND,0,760,ERROR,Microsoft-Windows-DistributedCOM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,BZbqDZ8BLZf6xaoaayis,1,1,192.168.56.104,abrar123,002,wazuh-server,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]", ,"[""IV_35.7.d""]",6, , , ,61102,"[""4.3""]",windows_eventchannel, ,log,"Jun 28, 2026 @ 04:08:10.255",EventChannel,1782644890.3577201,"Jun 28, 2026 @ 04:08:10.255", , , , , , , , , , , , , , , , , , , , ,Unavailable,{ED215C26-C810-49CE-929E-31D7E83A82E9},Unavailable,"\""C:\\Program Files (x86)\\Microsoft\\Copilot\\Application\\mscopilot_proxy.exe\"" -Embedding",2147942852,10001,DCOM,0x8080000000000000,{1B562E86-B7AA-4131-BADC-B6F3A001407E},2,System,0,"""Unable to start a DCOM Server: {ED215C26-C810-49CE-929E-31D7E83A82E9} as Unavailable/Unavailable. The error:
""2147942852""
Happened while starting this command:
""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"" -Embedding""",0,2026-06-28T11:26:23.0309058Z,12845,8264,DESKTOP-EEL8CND,0,760,ERROR,Microsoft-Windows-DistributedCOM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,ApbpDZ8BLZf6xaoavCgr,1,1,192.168.56.104,abrar123,002,wazuh-server,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]", ,"[""IV_35.7.d""]",3, , , ,61102,"[""4.3""]",windows_eventchannel, ,log,"Jun 28, 2026 @ 04:07:24.411",EventChannel,1782644844.3570484,"Jun 28, 2026 @ 04:07:24.411", , , , , , , , , , , , , , , , , , , , ,Unavailable,{ED215C26-C810-49CE-929E-31D7E83A82E9},Unavailable,"\""C:\\Program Files (x86)\\Microsoft\\Copilot\\Application\\mscopilot_proxy.exe\"" -Embedding",2147942852,10001,DCOM,0x8080000000000000,{1B562E86-B7AA-4131-BADC-B6F3A001407E},2,System,0,"""Unable to start a DCOM Server: {ED215C26-C810-49CE-929E-31D7E83A82E9} as Unavailable/Unavailable. The error:
""2147942852""
Happened while starting this command:
""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"" -Embedding""",0,2026-06-28T11:25:37.2132028Z,12842,3732,DESKTOP-EEL8CND,0,760,ERROR,Microsoft-Windows-DistributedCOM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,_pbmDZ8BLZf6xaoamifV,1,1,192.168.56.104,abrar123,002,wazuh-server,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]", ,"[""IV_35.7.d""]",1, , , ,61102,"[""4.3""]",windows_eventchannel, ,log,"Jun 28, 2026 @ 04:03:55.269",EventChannel,1782644635.3566002,"Jun 28, 2026 @ 04:03:55.269", , , , , , , , , , , , , , , , , , , , ,Unavailable,{ED215C26-C810-49CE-929E-31D7E83A82E9},Unavailable,"\""C:\\Program Files (x86)\\Microsoft\\Copilot\\Application\\mscopilot_proxy.exe\"" -Embedding",2147942852,10001,DCOM,0x8080000000000000,{1B562E86-B7AA-4131-BADC-B6F3A001407E},2,System,0,"""Unable to start a DCOM Server: {ED215C26-C810-49CE-929E-31D7E83A82E9} as Unavailable/Unavailable. The error:
""2147942852""
Happened while starting this command:
""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"" -Embedding""",0,2026-06-28T11:22:08.1598798Z,12840,18492,DESKTOP-EEL8CND,0,760,ERROR,Microsoft-Windows-DistributedCOM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,_5bmDZ8BLZf6xaoamifV,1,1,192.168.56.104,abrar123,002,wazuh-server,false,5, , , ,Windows System error event,"[""windows"",""windows_system"",""system_error""]", ,"[""IV_35.7.d""]",2, , , ,61102,"[""4.3""]",windows_eventchannel, ,log,"Jun 28, 2026 @ 04:03:55.272",EventChannel,1782644635.3568243,"Jun 28, 2026 @ 04:03:55.272", , , , , , , , , , , , , , , , , , , , ,Unavailable,{ED215C26-C810-49CE-929E-31D7E83A82E9},Unavailable,"\""C:\\Program Files (x86)\\Microsoft\\Copilot\\Application\\mscopilot_proxy.exe\"" -Embedding",2147942852,10001,DCOM,0x8080000000000000,{1B562E86-B7AA-4131-BADC-B6F3A001407E},2,System,0,"""Unable to start a DCOM Server: {ED215C26-C810-49CE-929E-31D7E83A82E9} as Unavailable/Unavailable. The error:
""2147942852""
Happened while starting this command:
""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"" -Embedding""",0,2026-06-28T11:22:08.1598798Z,12841,18492,DESKTOP-EEL8CND,0,760,ERROR,Microsoft-Windows-DistributedCOM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.06.28,_JbkDZ8BLZf6xaoaFicd,1,1,192.168.56.104,abrar123,002,wazuh-server,false,3,"[""10.6.1"",""10.2.6""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8""]",Wazuh agent stopped.,"[""ossec""]","[""AU.6"",""AU.14"",""AU.5""]","[""IV_35.7.d""]",1,"[""Disable or Modify Tools""]","[""T1562.001""]","[""Defense Evasion""]",506,"[""10.1""]",ossec,ossec: Agent stopped: 'abrar123->any'.,log,"Jun 28, 2026 @ 04:01:07.889",wazuh-remoted,1782644467.3565346,"Jun 28, 2026 @ 04:01:07.889", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,abrar123->any,ossec, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
